RegionID,SizeRank,RegionName,RegionType,StateName,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31,2025-01-31,2025-02-28
102001,0,United States,country,,1195.0669562369417,1200.561614878173,1206.519335027231,1211.3883548990234,1215.8367218848582,1219.9258867897552,1224.5847700882946,1229.7040626714572,1235.1577303411786,1240.4608081362035,1245.4545283685425,1249.9801832726373,1253.6319529525963,1256.8828207810343,1258.970131879169,1262.4069852903706,1265.9994978446407,1270.716769924124,1274.565908317976,1278.5868510295347,1282.3391125607266,1286.1474815191073,1289.6263288267498,1292.8433966116586,1297.7066198520438,1303.195793263438,1310.1290442935917,1315.134130415446,1319.968638259849,1323.8429720958363,1327.9273660692838,1331.4628668095484,1336.0661437850863,1340.1078172623413,1344.760791901946,1349.4688769259888,1354.42107518192,1359.5829377666976,1363.7952648360465,1368.3924564921315,1372.19343427399,1376.7050847302653,1381.3922386919114,1386.5954679482968,1390.9166114232455,1396.049431388515,1401.7141054972114,1407.3541421043392,1411.666997459015,1415.2406726573363,1419.5343379614164,1424.2920054924045,1429.7950315236617,1435.0321199820326,1440.2240689730277,1445.2593372195404,1450.51568214819,1455.436495623152,1459.75199969196,1464.1791407175226,1469.2632512172408,1474.760328579713,1479.1459219386938,1476.6550253720325,1471.9315856433188,1467.8590629867601,1468.2490988367363,1468.3318875215516,1469.0660002535167,1472.638927315691,1478.5646931866845,1486.1774803932656,1495.5734877728758,1505.87344117821,1517.8890381535155,1533.9778938763507,1554.8568041781693,1578.9084434688555,1603.7725668479284,1630.5162317969828,1656.9977603099676,1679.6597302157113,1698.9792226427737,1716.1976596722516,1730.7540036432274,1745.2664836473307,1756.7532413821843,1772.4022484596735,1786.836518365452,1802.2301452352774,1813.8032850772554,1822.3001689099103,1828.1420554472627,1832.579794899991,1836.926067251677,1842.5194389452656,1847.9207397955502,1853.3449236858912,1860.6751360260137,1865.3786120090888,1870.0808577368118,1871.4099724211344,1875.1152651505054,1879.5570528027363,1884.7631022595558,1890.8303952852184,1896.0194333866364,1901.9385271053475,1907.8486651861897,1914.4749339139928,1920.478345104098,1925.2340920245463,1929.2339189035472,1934.3480420875915,1939.000010256932,1943.9837667062916,1949.5019815820863,1955.5315670523037,1962.6218366908297,1968.5876529756983,1974.8273982474968,1980.1626711946271
394913,1,"New York, NY",msa,NY,2216.830048173743,2231.4310495546215,2244.2938330344564,2254.0903698715842,2257.918928744514,2261.816436660991,2266.1625950632597,2274.4115530358167,2282.6997561280045,2290.60345295312,2295.0303212940025,2299.9505446848384,2303.106030174061,2306.597503298771,2307.319843839796,2308.890677001647,2311.6546493053293,2315.2136450047083,2320.8284867512743,2323.499680713322,2327.914508705152,2332.3973896519815,2341.2555754721943,2344.4306104036837,2347.362892608831,2347.2219994813386,2351.124518853654,2353.755748848309,2359.072640242558,2362.0997286342877,2365.4393176080007,2366.7262850101683,2369.456794885744,2368.866450849962,2368.9370485716236,2371.090625652875,2375.9641809039385,2381.1091810453345,2385.1091999494593,2392.674008720337,2397.1883276080493,2401.621432901107,2405.8030662124925,2413.7343563378754,2420.4844386239147,2424.9839973511675,2431.474435420097,2436.883986967654,2443.694159919648,2449.118954193743,2455.528302252612,2459.9958221258707,2465.7365693647375,2472.774931647662,2479.7614589302557,2485.6240083846474,2491.678499828677,2501.374490065664,2508.7817552171314,2517.4849939259343,2524.23111261195,2532.9160289141787,,,,,,,,2303.6493806650087,2291.099960141648,2290.6371576263246,2293.513626739965,2301.0162192358084,2311.9345562936924,2330.2043504879985,2359.461740178296,2397.3397759175186,2443.5798166660497,2499.582618381602,2556.905860256345,2608.2835069401676,2653.6789021530863,2692.093086776596,2723.576226291395,2750.71780666004,2774.8058292925716,2801.2181608566825,2831.7975790226396,2864.127625430885,2895.261659323059,2919.837501519059,2936.304428136605,2943.8861811418046,2946.795461971433,2948.534324669125,2954.565939093273,2962.5213449086714,2974.1233593576644,2988.9046171032855,3000.49451251682,3009.1444528640372,3016.5774479697566,3025.050438700646,3038.2828129870213,3048.8921274475388,3056.3527941874936,3064.5574937720144,3076.586507953799,3090.316448906071,3103.1100506141984,3110.5439537811058,3115.9525262295797,3120.9945951391105,3125.864377855835,3131.520932704488,3137.444185124821,3150.9041466982158,3170.0008928713933,3190.093115260743,3206.211653245868,3220.610276402544
753899,2,"Los Angeles, CA",msa,CA,1809.6757565616153,1819.8705167921362,1831.2807638594309,1840.9584729075416,1848.7679339359283,1856.9051850337007,1866.9394496026944,1878.2085992674101,1890.925890411518,1901.952786972562,1914.0465886685192,1926.1187199343115,1935.9024550494103,1944.2727570166307,1950.2634551098793,1957.1553744680468,1965.8065501202261,1976.178076158303,1986.6973756218965,1994.5334619031012,2002.9432777566387,2010.2446086199377,2018.3949989330592,2026.1270473600107,2039.208725155906,2052.201296597247,2067.869848095084,2078.8809253053564,2088.5620885385238,2095.3942390301886,2102.846737361434,2109.4170304286795,2117.8171220650356,2125.223643017024,2134.8239515221408,2143.255233269235,2153.2627534957046,2163.485133167661,2169.40978484755,2176.083055322008,2180.5334815306355,2189.9511021937847,2198.4113551187984,2208.502925263876,2216.1241828885663,2224.9507873829584,2233.9390643751403,2242.5532738977863,2247.3928065016903,2251.3511782263026,2258.069047429654,2266.26916327627,2276.341280956017,2283.3521644464336,2290.4034222737137,2296.8959777701975,2303.8940479386747,2310.498724669883,2315.4218125296034,2321.1337660490058,2327.718136077609,2334.751564221487,2330.0273331268986,,2310.7018859727114,2301.715372557378,2296.4132775016055,2289.61843454782,2287.619121308596,2291.7503361738873,2299.2848618688945,2305.145036804564,2315.179165353534,2325.1264280552446,2338.762688669763,2352.579848809775,2373.6205629731917,2404.0484107447555,2441.951556857708,2486.8108680644455,2526.214832795216,2557.7450572369416,2582.5980244533603,2609.503679020965,2632.8073962892536,2658.3357423508855,2679.4424377386704,2708.4835976592676,2731.6306071650392,2750.5204110384634,2761.3554562548766,2768.606286980895,2774.4530091514707,2778.023022886858,2783.981033107953,2789.4526793325526,2790.6587608264003,2793.6960602789845,2800.628839935255,2807.7838144755665,2811.716033534135,2813.7857865261776,2818.2540416243196,2825.72550192282,2831.248539276518,2838.9626935931465,2842.5250154125424,2850.7256546482777,2854.554892666859,2861.7196872627082,2868.0871320119154,2870.4394221020284,2876.6171947821476,2884.1991447524683,2892.234639820543,2898.422083893054,2908.102485161588,2918.939131191974,2933.317726875443,2944.1693066629505,2961.373268401776,2975.013378935551
394463,3,"Chicago, IL",msa,IL,1399.9009868564674,1401.220182758946,1405.0958091656605,1409.0183352461545,1413.6273792161617,1416.6428316396978,1419.3678306778381,1423.3508417726655,1426.8478773772538,1431.7210567756545,1436.1715637341965,1441.613999218075,1445.0301086699003,1447.5924912328314,1449.5223020941157,1450.5291874384188,1452.0740239310255,1455.1282129071035,1460.20847651835,1466.429405012543,1468.9564873936554,1471.7344841382896,1471.2842060285552,1471.1063598131989,1472.9649262405844,1479.1513519600014,1487.1951092047925,1493.225010715779,1497.739428304104,1499.1404666282099,1500.1673427346204,1499.2584195235886,1503.3294296697186,1505.0971653291108,1509.5378490327594,1512.4719490203233,1516.2800802424829,1519.9260827137598,1521.6531792022863,1524.3595955032624,1526.855126385746,1531.5443869425717,1535.9175895884025,1538.883739031949,1539.6098311129106,1541.1520823911728,1544.7717268336444,1551.5481204860862,1555.868391620262,1558.5405150426545,1561.1408669781056,1564.2396595997243,1568.2215805204648,1571.810394025787,1575.5346476077466,1581.0886245088495,1586.7635824274143,1592.9062655252237,1596.8681142996472,1599.1221849799585,1602.5990895548114,1606.6947058098415,1610.8459263993898,1602.4573840513826,1592.7385578647627,1584.3970328986811,1581.1938099707,1578.57479411102,1573.966811358292,1567.3641539080581,1563.0426305378232,1562.8858345147405,1563.4311653774566,1568.4541719761778,1575.2346082645995,1591.1613893586693,1607.558382316632,1625.6668243583424,1640.7506322567574,1656.1007487027175,1672.7195852158845,1687.9021839519723,1702.7581879571114,1716.47365397985,1729.6192358721355,1739.6060939192278,1749.635685137021,1761.8812043828934,1776.2623469926446,1787.9116066814752,1800.4056197982723,1810.5507324608552,1821.6053421666822,1832.6655591767721,1842.0429795779335,1850.3008297826404,1858.0742651181815,1867.1590758500479,1877.3840802400969,1883.9591481051557,1892.425569705172,1901.1021677577248,1910.234411504478,1920.2271190485233,1927.2969707535754,1933.190101926212,1938.102924958694,1947.3911899234165,1958.0432605350884,1967.8684800429855,1976.5308840430375,1985.2472058682322,1991.4758580130517,1998.7116464390192,2005.9027222648508,2013.76386585321,2023.4113714037026,2034.5130355139884,2047.335747480935,2057.4469688757586,2066.909606956617,2077.00046065288
394514,4,"Dallas, TX",msa,TX,1093.586002209824,1097.5216096217707,1101.9295639033114,1108.8821987097385,1113.7055130983142,1118.6763316317245,1122.903869548511,1127.5543196985222,1132.671362406514,1137.7134640299282,1143.1363345640825,1148.4553216249521,1151.9023545638943,1156.6130300744574,1159.9525977597555,1165.5479816265838,1168.987127148847,1173.6493587522182,1177.3576708170717,1182.5737114853503,1187.5443057118607,1192.909385841707,1196.6946219657857,1200.534666206031,1206.551072841391,1211.41360451763,1219.1540745934926,1223.4026377713872,1231.1081448551192,1234.319096553099,1238.6522902217498,1241.873763559849,1245.6774295086148,1248.0129796512977,1253.3645558473763,1257.850223874259,1263.3802851497987,1267.7450169436702,1269.2038457086524,1271.753719586622,1272.3837893739576,1277.415923977967,1281.550930882533,1285.451372626427,1288.113571968277,1293.9271681972007,1298.776112677554,1305.3648954948112,1308.2370191983086,1310.874045479382,1315.7294598064182,1320.7755470929967,1325.96993763719,1329.561241102928,1333.3605499406374,1337.374170227406,1341.9255043476383,1344.4938224729221,1346.4847728502384,1347.3805986555778,1350.0515533568876,1353.4951584326254,1360.1276475455138,1358.0066961603088,1354.1338731374374,1349.2900637635464,1348.9582345254241,1350.7787458871499,1355.664577804401,1363.5140308016726,1371.2086793898675,1380.9566649430624,1390.049114908317,1401.3266203792266,1410.7284261998782,1426.9617265906247,1446.560105063425,1471.4917997414889,1497.845697017147,1525.8129203846113,1552.2233224712181,1574.2026771734256,1594.873192554282,1613.4279348286796,1629.2415753484986,1642.1127773929763,1651.826145333669,1667.2765317197436,1682.8795825293805,1702.3378215302102,1713.953385426955,1718.5033689212455,1718.0064771936409,1714.2712922701044,1713.6294067356962,1714.0467518873545,1718.0232237690398,1721.6050466603344,1728.9137442322874,1728.6023232352002,1728.0582074016195,1722.4429402862104,1721.858259696479,1720.9693747713977,1721.8207702478942,1724.2395190983118,1726.6045241035217,1727.8053205638664,1728.1412583592478,1726.1288448715413,1725.273765171207,1725.4576329530921,1724.6577022930164,1724.3340954176674,1723.2645842069328,1725.0162785416226,1727.7132204529712,1731.1931115830341,1733.1613032907842,1735.5032154856085,1737.1144600499276,1740.9651160091316
394692,5,"Houston, TX",msa,TX,1219.1095746866588,1221.5679632018214,1226.5387786725041,1228.6482198288804,1230.8346684775245,1232.7917122216302,1235.36895367304,1239.2245629202616,1240.497231712218,1241.4903856905871,1242.6095404176401,1243.4909174906281,1245.9101236060465,1246.4764458494162,1249.1656561113552,1248.2171601694063,1245.968210861154,1244.0603303560079,1244.8475255895353,1246.0072511855435,1244.091884118202,1242.9339006445202,1239.992962943421,1240.0668722835014,1241.3559280036295,1246.927862555479,1252.042452949357,1253.0696264877079,1256.4401812987167,1256.14549044456,1258.1349920383939,1257.476048851691,1267.9233764355606,1277.56723905378,1289.5217090757774,1296.2830600474747,1300.272998379368,1304.0081447161558,1302.5297385896179,1306.3536626390248,1305.5342919167338,1309.078183985744,1310.0273061184034,1312.9954241875855,1312.9323461231502,1314.7925118304609,1317.2084325383253,1317.841708238945,1319.272094395208,1316.8781382321731,1320.9944185092568,1323.8818765544754,1329.4009654313172,1333.2776284505428,1337.4386535351377,1341.2525008422494,1342.6401840496196,1342.994066058045,1342.3703267104245,1345.2745843726573,1348.8419978373668,1354.774349983064,1360.8867363795423,1357.2448274543685,1348.1008347864554,1339.3332701090944,1339.0023727537407,1341.8667809581846,1345.809708590974,1351.63214372493,1357.6044810947662,1361.988539545033,1366.4325412573419,1368.2238585600703,1374.204755589654,1385.3406099138415,1403.6484715607849,1425.5657540704597,1444.9845357784764,1464.9319041890258,1481.6258181791713,1494.6155979850685,1505.5382581712252,1515.350648163581,1524.6915622539627,1535.084995539243,1542.270348860062,1552.6854347709275,1559.4647069378857,1568.2077099685775,1574.1852740085526,1578.271703905719,1580.3764780889437,1581.368192301917,1582.9458641160459,1587.086171447676,1592.903552066686,1599.9476707294564,1608.230824190926,1610.3763185510772,1613.688024363451,1613.5832807481497,1615.7551510778785,1616.401752998265,1616.6774925379525,1618.1371763530126,1621.0817488013886,1625.580562324693,1630.8071187863204,1634.8039396599536,1636.026445838987,1639.1127884724012,1641.4442710964618,1644.4087534881899,1647.1302213079612,1651.5242137429912,1657.5931450141677,1663.735754193892,1668.5715034813488,1670.9572207079445,1671.7906468272054,1672.6438200544044
395209,6,"Washington, DC",msa,VA,1683.1298681679073,1687.7471043680346,1692.049662292652,1693.9291777919154,1696.6534436698287,1697.843522984842,1699.6701714341361,1699.857389055749,1704.5902206743906,1708.4900924427675,1714.7376049723412,1717.73797387333,1720.5945198861527,1720.2369091186188,1721.0614884304148,1721.9270859669414,1724.9856045651293,1726.5048308356295,1729.165406696155,1732.9666975974442,1735.1426650792714,1738.146469975421,1739.7696998898223,1743.3211611502504,1747.7672638792903,1755.1328563962684,1761.0295330906397,1764.98148566256,1765.3465334604334,1768.2298500792263,1770.2831498602654,1772.7155300102604,1776.5806488766907,1780.3781642230997,1781.734999302755,1782.6969560197506,1784.1282380630637,1787.4148541098248,1792.5990042573217,1797.509061721065,1802.7484165780502,1807.0149127970083,1811.7641224134832,1818.3421982845155,1820.1196571937805,1826.325581041343,1834.7920809893126,1843.4929320699396,1846.2118211342001,1848.317600150768,1850.9385043405684,1854.8956246562204,1860.0088217950727,1865.109284580764,1870.054311884264,1873.2662562885835,1879.7453940859343,1882.7180806625324,1885.4014552310425,1887.851984814304,1894.583890324938,1900.445201417519,1908.5307123411876,1902.5972455833535,1892.6753349272246,1878.3605896650238,1869.2413039176508,1862.418889400004,1854.7270885167989,1849.2242237813684,1843.7465035058913,1842.5476496193617,1846.8123506478287,1852.3983989854064,1856.57107222836,1865.7346269771983,1883.983605370691,1910.9869852868517,1936.962724169552,1962.7092073325607,1985.9928133919323,2009.338611804324,2027.9854460482334,2042.8258003228777,2049.6157312583327,2058.155177827713,2067.1124600409403,2082.7474996657666,2096.722596429579,2110.5755093874754,2122.6933301580525,2130.423341603297,2136.568563027015,2136.4390486768034,2138.509369882264,2141.775025522412,2148.271374350417,2156.9626892745027,2168.2419534060145,2174.28896627155,2180.2421672051646,2180.6590550173255,2186.2660204587514,2194.0109606597925,2203.9625429774005,2217.003285949379,2227.314194052133,2237.0020961448736,2244.5782314883627,2255.286298457988,2263.3805978444507,2271.3517717271875,2278.4480131099563,2288.3393134655607,2295.4223396689704,2303.26583240868,2310.956831824984,2319.3644355120873,2329.865794095679,2340.9312990164676,2353.5685653991573,2362.197130193255
394974,7,"Philadelphia, PA",msa,PA,1231.1071869925024,1234.648785149968,1241.740730763883,1244.731468884481,1247.4457008558443,1248.031012063445,1251.237154049096,1253.9449882087813,1257.7690339489513,1261.2209008975046,1261.5906096972612,1262.5705725722446,1262.6970010906543,1267.6015640868675,1269.9085586536553,1274.09041505036,1277.1062121028913,1282.9625406690802,1285.832479528502,1288.5141686990237,1290.1881326523378,1292.9127423575399,1298.7501562889156,1302.4111029198234,1306.5504765101673,1308.586323372777,1312.570452169705,1315.5463663416174,1318.0422417503057,1318.0951921606086,1320.8462100439508,1324.6637583621598,1329.692789008551,1332.838137320487,1335.0131371848008,1341.027422447308,1344.6617462137683,1348.7177202400246,1351.0178343597636,1354.9369193833227,1360.4317045801638,1363.584245729462,1366.7795286081357,1370.0632765934472,1374.6041812678734,1380.4841701571427,1387.2401202071942,1389.9839709240803,1394.9744934561013,1397.2397492112705,1402.608605264185,1407.0268031088694,1410.8017494683568,1417.167556169436,1422.7773624531678,1427.9249737076755,1431.7554776105094,1435.351504049911,1438.3066970719767,1443.0050308257016,1447.2238116271174,1453.7525814424912,1458.3780575123906,1458.3834469309666,1455.2255836799893,1453.2469117707221,1456.9580704449565,1459.2696166466092,1464.485936055594,1468.6557871897378,1474.1549687316135,1478.7187538718847,1484.8986733618933,1490.5294796648745,1496.2081133119125,1507.980712569267,1525.63977797303,1543.1077056810834,1558.6526347883414,1575.6605612021144,1588.9231002199538,1604.4509134053872,1618.3605022461688,1638.0803815274028,1650.6337915099498,1662.169877985185,1669.1955439077938,1679.5150331606712,1688.8449959560821,1700.3318529041323,1709.2020042111117,1715.54523503023,1719.5163894069535,1720.3346788569447,1723.5246963103314,1724.188127149439,1730.8254003420723,1734.0753115169402,1742.3944661176424,1747.4605034183019,1754.0588343268123,1755.498279466638,1760.0723310726141,1765.553589652934,1775.385292938325,1782.7686503832608,1788.6925048965222,1791.08471838563,1795.3880917819147,1804.3267128576856,1810.3520992158612,1815.9664168548663,1819.6403000617634,1826.303588027693,1832.118249557835,1838.2093609629596,1842.799730389383,1850.3863393582367,1858.2230001580238,1868.856058971904,1876.5002579969919,1882.505160470164
394856,8,"Miami, FL",msa,FL,1462.670799475312,1471.4712966008324,1478.518691211742,1486.1077998941594,1493.2355690330846,1500.6924833652795,1507.3760560365172,1513.799370190556,1521.73324781488,1527.8861337644187,1536.8289382537569,1542.8250313266608,1548.9184542298271,1552.0847547236797,1555.4270087674167,1557.5235679567527,1557.3793013737504,1557.0306430113642,1557.6938365337558,1559.2790855145743,1561.7046408375645,1563.4784657460477,1566.671361348834,1568.8462022763042,1574.7272659374958,1579.6596646039384,1587.755869316327,1591.4853488258007,1594.419555836659,1597.462760562461,1601.442797738564,1607.3297925240952,1611.8021298519693,1615.423810391289,1615.5322292857288,1617.7107672002053,1621.9271554512795,1627.351942281287,1631.794632514301,1636.3992356553995,1641.196690298944,1646.844987185499,1652.0423422402055,1657.127695776969,1660.4000289555543,1664.53885206011,1669.356695894036,1675.0543457973502,1677.7083197713387,1679.255907521105,1680.929036230309,1685.0723422093386,1690.1300051055125,1694.6810172108967,1699.120848553027,1702.6829102493955,1708.3095974131093,1714.0509996195142,1720.8558283158045,1726.5107727074549,1733.048727658482,1740.4694316952857,1741.872930984896,1738.1190806623697,1731.235795030338,1729.41429054152,1729.929490001557,1731.98430260436,1736.1107844082364,1749.0584423251833,1765.4222543748779,1781.216671609368,1799.8690411186099,1825.556940852373,1855.3713392480036,1890.1068231430934,1929.9586440533676,1978.5363327402158,2037.5463596272282,2099.0843982208353,2156.7559901697673,2202.0705508825135,2246.4705048242363,2294.6113315059965,2341.488254721725,2379.086682006802,2415.5965494168395,2455.0530407919396,2492.973368865724,2517.809168134936,2531.9922786618613,2538.2052914840096,2545.2290264625926,2550.6040221953504,2558.6462952860793,2567.1760231798694,2573.2556395925676,2578.669269068105,2581.4955169103946,2583.87894962992,2589.1485964020985,2593.4153818087666,2596.128872152592,2599.7959324093276,2603.7130090911473,2614.7969209338085,2621.5385433586443,2623.617371501576,2626.1885678682575,2634.085033437675,2641.0943067421845,2644.729483742426,2644.6672166686712,2648.3829759240393,2654.7392026608572,2662.5740399115994,2669.6772141735482,2673.558595125437,2678.399208483788,2684.629515556802,2690.8106286167354,2694.0240987034867
394347,9,"Atlanta, GA",msa,GA,1027.2062256115537,1032.3107815427456,1034.535232808935,1040.8544678154024,1044.5964580288412,1051.7650233378113,1055.9673902009679,1060.9262252546728,1065.9811950777,1071.4105955862096,1075.851876027532,1081.0351619278447,1086.4871121871151,1092.4487586589569,1097.7788137520536,1100.6797077936446,1104.889226987465,1109.1659500385701,1115.8313056662791,1121.923904258731,1127.1403118006979,1132.8364725031847,1137.354930813966,1142.064009061159,1147.121646260634,1153.64313722912,1161.7488594786616,1169.0769858078995,1176.7952892055562,1183.3819472564246,1190.878695637217,1196.8831966593975,1203.9428403675681,1206.4553219811417,1212.6626226079807,1217.0721561059593,1224.884183223375,1230.6828330928367,1237.01816033443,1244.1797522167353,1250.70692126976,1256.5112240152253,1261.7528986498237,1267.0015486521106,1271.9349144243133,1282.7831809528482,1292.659956705319,1301.9225777906765,1307.3061992900246,1312.5213308890982,1317.9702152985515,1323.499695726915,1329.088978265904,1335.6629604911084,1341.6803324559064,1348.4453467493254,1354.9305322615405,1358.7614708826063,1361.5346789217688,1365.4845962317968,1370.3975753677234,1375.938723000191,1383.301089129767,1384.7444793123996,1385.4508326939115,1387.2176994980534,1394.9870769630413,1403.0597217527484,1412.6258616565233,1424.2525734263845,1438.57912872594,1453.5063065248896,1470.5922580765423,1488.8862007553587,1506.4964884160463,1528.1993844903536,1552.779057965809,1584.0970893742663,1615.1937886119144,1650.0369315966875,1680.286399628284,1706.7936604763784,1725.6836157862804,1739.5376620243603,1749.2972789388132,1756.7124856026348,1765.6696458888462,1776.7636378867871,1790.9161400368837,1804.2080530649516,1816.9763949970404,1823.5326744775173,1825.894965047484,1825.236423699891,1827.1194054783575,1833.6802664378658,1836.2325433818987,1839.1517401304584,1845.2061624259934,1848.8701313523668,1849.0945010921037,1842.6488194183762,1839.4354007463783,1837.875677845331,1836.2449771772103,1835.8231617733888,1835.0722971164582,1836.721073636158,1841.893210086143,1847.0226031011484,1848.4187787629826,1849.107148068695,1849.7344939815578,1853.8645626499554,1855.4575153505207,1857.7549927403268,1862.8320011317749,1868.8724423185354,1875.1608269416913,1878.0909445630598,1880.7023495515132,1883.3698477293947
