_id,RegionID,SizeRank,RegionName,RegionType,StateName,City,latitude,longitude,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
67dcb0ab3d801f506428a106,102001,0,United States,country,,United States,39.7837304,-100.445882,123244.34135352868,132216.05907771806,141407.4547849764,152219.27664248695,166513.03437512097,185958.9997634499,202424.05480302466,204303.39882557894,191685.08085155883,174011.3959109778,168052.60676428975,159276.75502223324,157932.19394049616,168011.048960432,179356.79239512642,188905.06352273026,200442.25137083002,212455.9646492117,225956.08016525523,237273.69832539852,252037.2715768147,290073.76178301557,333252.91148369823,341237.0093496976,352597.54927265627,356912.24198081816
67dcb0ab3d801f506428a107,394913,1,"New York, NY",msa,NY,New York,40.7127281,-74.0060152,225898.6403310937,253963.00791264107,286441.83197742514,328871.86787242215,371745.33464433876,424818.1304764881,466219.7493702085,461030.9395495804,439426.3274119397,403907.71502878144,392527.6082286265,380626.0322811895,371672.0731388023,380533.06084458786,400172.5026513734,413488.3283739798,432214.6546269345,453873.5330583631,476079.82749925164,492573.7172178764,509335.22582918726,557216.0293021194,603722.7735155112,617441.8190611862,659014.3754175416,679116.0049814747
67dcb0ab3d801f506428a108,753899,2,"Los Angeles, CA",msa,CA,Los Angeles,34.0536909,-118.242766,234232.79058208366,259460.0740004013,293963.6042977115,349060.96926049254,435544.1403270771,526087.4490579021,591305.7687224398,580192.1784855457,485700.45135177294,408378.2369916751,407286.87333402626,384618.9218026733,375308.8029269292,433499.90753092355,486973.6549070477,511683.9079370937,531215.491889975,578407.6060751928,638874.8958822575,654765.2793244022,688576.9335375128,784378.162460877,889830.6553903405,888616.5999031457,948252.6219287628,973020.8621432041
67dcb0ab3d801f506428a109,394463,3,"Chicago, IL",msa,IL,Chicago,41.8755616,-87.6244212,154897.139216596,168219.84453294022,181690.06632929135,195589.184812253,210937.3819083675,229999.69763357038,246204.2305526957,249568.38055723827,235609.41346325402,207575.85923027375,193095.24307782002,175811.33293553034,164405.983965509,171606.5511736968,187930.18873031694,196094.28081411845,206353.5031802345,217089.10096703944,227410.88100731242,233053.4084644854,239618.8020098689,264831.4453501836,288434.2390523595,296764.7792362442,314919.7034618533,323557.0391398301
67dcb0ab3d801f506428a10a,394514,4,"Dallas, TX",msa,TX,Dallas,32.7762719,-96.7968559,127330.33532564175,129510.34717401098,132673.61998694108,136470.9731756856,143972.10636515834,148780.46834474633,151911.2424565522,154735.7577380054,151592.43747033784,147666.40161975138,147096.10491112876,141424.8004588314,143028.76271449798,153312.64818052412,166082.3761747598,182200.30431015315,203826.7244195831,224992.5929724148,243319.87338981032,251747.56089342336,262867.06877156656,304544.4655016922,369402.2361484901,371449.88974887884,373220.0471153888,370772.70423926733
67dcb0ab3d801f506428a10b,394692,5,"Houston, TX",msa,TX,Houston,29.7589382,-95.3676974,122471.0452052083,124097.75667954097,127096.81050556451,131332.24016400395,138368.49308784064,145287.19360336007,148028.25086345745,153036.18925297633,152421.9052583628,148533.62058209974,148366.3960054425,142202.77156500856,141023.240414268,149139.32907301866,165761.236680658,183635.8657556877,195017.93061311237,202222.95521736192,210488.19021289804,218806.10122033185,227384.93170070593,256760.02195866767,300870.2988094428,304440.6880389975,306802.5729312591,306309.3078172293
67dcb0ab3d801f506428a10c,395209,6,"Washington, DC",msa,VA,Washington,38.7129721,-78.1593468,185482.53775384199,205270.39201283222,233272.18120585,268042.75333213253,316404.6716664265,388900.0774005542,435433.0062837566,421096.15877126134,371823.26639461686,324826.1547442848,322061.9313701742,316721.5153960006,322405.3602102568,348048.36753523577,368468.203133324,376222.962903554,385106.19476116594,397771.3241229446,411970.86277195386,425492.267831648,447414.8058716084,497590.9097173581,534466.3114203947,540590.573352636,562539.3774865683,575192.574525619
67dcb0ab3d801f506428a10d,394974,7,"Philadelphia, PA",msa,PA,Philadelphia,39.9527237,-75.1635262,122240.76700195884,129761.50814291088,141169.0342055332,158805.24353154004,180603.44231391806,207827.76512951733,230567.37324417487,235428.82573444024,229914.25273110488,217724.61713159995,213886.86846963267,202112.83235776736,194753.00312798304,196620.43372805428,201790.02579178906,206177.11845721942,213791.40419227467,222754.65811604387,232442.05077525062,241446.10812921892,256740.88044541725,290050.393084038,318952.1968581143,334717.1593620311,355323.8227570774,363555.4526947207
67dcb0ab3d801f506428a10e,394856,8,"Miami, FL",msa,FL,Miami,25.7741728,-80.19362,115770.21710072206,127115.86315693008,144863.852279428,166398.14599545117,194643.71966654365,242938.1685300432,293614.4037782929,290947.8088122666,236711.0976555203,179200.67231005686,160368.73771220705,147910.5173649257,148802.20186989728,171540.30927126305,198850.46589690854,220789.28656808156,241790.18926654084,260885.49907853364,279516.26999444905,291785.39332195144,306438.21560255566,348778.69386592315,427720.73200242803,461661.25405176595,486133.3648810592,485205.5812344033
67dcb0ab3d801f506428a10f,394347,9,"Atlanta, GA",msa,GA,Atlanta,33.7489924,-84.3902644,149053.45961711745,159800.65976832845,167429.95004120178,171994.9653519444,176156.54765878784,182154.32954694194,188969.75584926453,192851.46370854392,183532.60473614582,160504.41119928364,148319.2285533147,130970.03718879497,126856.45789653284,141197.30110690926,161686.74184207435,174516.4452906101,188727.2352565059,203646.06872409466,221970.66174649922,237102.31033181516,252413.6397364453,297825.8081943746,361408.4362739769,369574.3611271178,380468.7389335762,378392.73691375414
