_id,RegionID,SizeRank,RegionName,RegionType,StateName,City,latitude,longitude,2018,2019,2020,2021,2022,2023,2024,2025
67dcb150cd5cf3aa41dd465a,394341,691,"Astoria, OR",msa,OR,Astoria,46.1882007,-123.8319802,,,,,,,,85.0
67dcb150cd5cf3aa41dd465b,394354,698,"Austin, MN",msa,MN,Austin,43.6679992,-92.9746498,,,,,,43.666666666666664,49.083333333333336,59.0
67dcb150cd5cf3aa41dd465c,395219,700,"West Plains, MO",msa,MO,West Plains,36.7281652,-91.8525756,,,,,,,78.9,119.5
67dcb150cd5cf3aa41dd465d,394934,701,"Okeechobee, FL",msa,FL,Okeechobee,27.2436957,-80.8287487,,,,,,,69.08333333333333,85.0
67dcb150cd5cf3aa41dd465e,394476,704,"Clewiston, FL",msa,FL,Clewiston,26.7542312,-80.9336753,,,74.25,54.833333333333336,62.416666666666664,95.16666666666667,94.41666666666667,101.5
67dcb150cd5cf3aa41dd465f,394981,708,"Pittsburg, KS",msa,KS,Pittsburg,37.4108841,-94.70496,,117.0,85.0,39.666666666666664,29.25,35.583333333333336,45.25,70.0
67dcb150cd5cf3aa41dd4660,394663,709,"Hannibal, MO",msa,MO,Hannibal,39.7082498,-91.3587413,,,,,,,36.333333333333336,37.0
67dcb150cd5cf3aa41dd4661,395227,715,"Williston, ND",msa,ND,Williston,48.1465457,-103.621814,,,,,,,,53.0
67dcb150cd5cf3aa41dd4662,395178,712,"Urbana, OH",msa,OH,Urbana,40.1083912,-83.7524298,,,,,,,,39.0
67dcb150cd5cf3aa41dd4663,394434,714,"Cambridge, OH",msa,OH,Cambridge,40.031183,-81.5884561,,,,,,,,60.0
67dcb150cd5cf3aa41dd4664,394526,716,"Defiance, OH",msa,OH,Defiance,41.2844933,-84.3557802,,,,,,,23.857142857142858,40.5
67dcb150cd5cf3aa41dd4665,395046,718,"Safford, AZ",msa,AZ,Safford,32.8332698,-109.7131615,,,,,,,,52.0
67dcb150cd5cf3aa41dd4666,394300,720,"Ada, OK",msa,OK,Ada,34.7743383,-96.6783651,,,,,39.0,49.583333333333336,60.333333333333336,65.0
67dcb150cd5cf3aa41dd4667,394422,721,"Brownwood, TX",msa,TX,Brownwood,31.7070026,-98.9831022,,,88.36363636363636,57.166666666666664,47.416666666666664,71.33333333333333,80.66666666666667,86.0
67dcb150cd5cf3aa41dd4668,395072,724,"Scottsbluff, NE",msa,NE,Scottsbluff,41.862302,-103.6627088,,,,,,,,70.0
67dcb150cd5cf3aa41dd4669,394554,729,"Easton, MD",msa,MD,Easton,38.7744625,-76.0763244,,,109.25,51.25,43.916666666666664,45.583333333333336,47.0,67.0
67dcb150cd5cf3aa41dd466a,394451,728,"Centralia, IL",msa,IL,Centralia,38.5250491,-89.1334037,,,,,,,,69.0
67dcb150cd5cf3aa41dd466b,394948,730,"Owatonna, MN",msa,MN,Owatonna,44.0839937,-93.2261076,,,,,,,35.18181818181818,55.5
67dcb150cd5cf3aa41dd466c,394507,722,"Crawfordsville, IN",msa,IN,Crawfordsville,40.0408627,-86.8997385,,,43.583333333333336,19.916666666666668,23.166666666666668,29.25,33.666666666666664,51.0
67dcb150cd5cf3aa41dd466d,845165,732,"Minden, LA",msa,LA,Minden,32.6154278,-93.2868354,,,,,,,,63.0
67dcb150cd5cf3aa41dd466e,394617,735,"Fremont, NE",msa,NE,Fremont,41.4338363,-96.4960449,,,,,,,,67.5
67dcb150cd5cf3aa41dd466f,394603,737,"Fort Dodge, IA",msa,IA,Fort Dodge,42.5044017,-94.1910044,,,,,,,,77.0
67dcb150cd5cf3aa41dd4670,394745,744,"Kill Devil Hills, NC",msa,NC,Kill Devil Hills,36.0321186,-75.6776147,83.6,124.75,112.91666666666667,43.75,37.5,49.666666666666664,54.166666666666664,78.0
67dcb150cd5cf3aa41dd4671,394550,740,"Dyersburg, TN",msa,TN,Dyersburg,36.0346393,-89.3857496,,,,,,,,62.0
